ObjectID,GlobalID,Building name,Building code,Inaccessible spaces,Braille/tactile signage?,Braille Description,How are the hallways lit?,Lighting Description,Chemicals and allergens?,Number of floors,Number of stairwells,Number of elevators,Number of accessible bathrooms,Number of gender-neutral bathrooms,Gender-neutral accessible bathrooms?,Total bathrooms,Are there any lactation spaces?,Are there prayer or meditation spaces?,Comments and additional information,CreationDate,Creator,EditDate,Editor,Picture,x,y
3,547bca46-f2c3-4726-82a3-262c6d73dedf,Houston Hall,CAMPUS-245,yes,yes,Braille for classroom signs. Braille signs are sometimes too high to comfortably reach in a wheelchair.,artificial,"Generally fine, dim in basement.",No,4,4.0,2.0,10.0,0.0,,10.0,no,yes,"Accessible water fountain on third floor, second floor, first floor. Trash can blocking entrance to 301. Heavy door to stairwells on West side of building. Difficult to access meditation space and bathrooms on East side of second floor.",3/2/18 21:37,,3/26/18 15:20,,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/3/attachments/2?token=O2cLdxXeA5aY56dS8CyhxK1CLivUZY7YKITg2liANnheLvBsEjS01wyJZrrD3rHq4wltAkUi48thEOs8O2lRanD6NDIRxgHN5MQb1KxCfb-I2r7FzZpJpzCPUqCHkOSNESzjndgC5bl4uFIcIhjaN_Xpg78ieQQGuNmPmnd5BIyuhT_PSga-LmRu81nHruXsbU8HBdixuMpEB5B285BxPLoE0psRLW1p-ryAMGBQ2ZtorCHTjgKQ_cRP1QqbgfmzZmSAar9T2hRykGVq_jTNWi0I7Ddjp13ko69H_zhnqB4.,-75.19384259,39.95093352
4,b49473be-cbe7-4e1d-a882-52c777dfe7c2,Schattner Center,173,no,yes,Braille signs outside of every classroom or lecture hall,artificial,,Often there are chemical smells from dental lab work,3,,1.0,3.0,0.0,0.0,3.0,yes,no,,3/2/18 21:58,,3/28/18 20:29,madhurap_UPenn,,-75.20313093,39.95276224
5,998690a3-853d-436e-a4f4-f679e42bd0e9,Stiteler Hall,550,yes,,,artificial,Silverstein Forum has dim lighting.,,3,3.0,0.0,1.0,1.0,1.0,5.0,no,no,Accessible restroom only accessible by pin code that only building administrator knows.,3/2/18 22:00,,3/2/18 22:00,,,-75.19713,39.952740000000006
6,e50aff28-d878-42fa-9e0b-975fcea922bd,David Rittenhouse Laboratory,510,yes,yes,Some of the classrooms have Braille signage most do not,artificial,Ground floor and basement are not well lit. Relies on natural lighting which is not always good. ,,4,4.0,2.0,,,,,no,no,,3/2/18 22:02,,3/2/18 22:02,,,-75.18979,39.95199
7,3d62acdd-06af-461e-bb79-dea9e063c4e9,Claudia Cohen Hall,,yes,yes,Signage available but our of reach for a wheelchair user,artificial,"Dim, but visible",None,6,3.0,1.0,8.0,0.0,2.0,10.0,no,no,Accessible water fountains are located on each floor next to the bathrooms.,3/9/18 21:35,,3/25/18 21:55,amcgr_UPenn,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/7/attachments/1?token=O2cLdxXeA5aY56dS8CyhxK1CLivUZY7YKITg2liANnheLvBsEjS01wyJZrrD3rHq4wltAkUi48thEOs8O2lRanD6NDIRxgHN5MQb1KxCfb-I2r7FzZpJpzCPUqCHkOSNESzjndgC5bl4uFIcIhjaN_Xpg78ieQQGuNmPmnd5BIyuhT_PSga-LmRu81nHruXsbU8HBdixuMpEB5B285BxPLoE0psRLW1p-ryAMGBQ2ZtorCHTjgKQ_cRP1QqbgfmzZmSAar9T2hRykGVq_jTNWi0I7Ddjp13ko69H_zhnqB4.,-75.19471503,39.95138893
8,0b773c96-c312-403a-a62d-fee639b84d55,Graduate Student Center,,no,no,,artificial,,,3,2.0,1.0,4.0,2.0,2.0,4.0,yes,no,,3/19/18 16:45,,3/20/18 21:05,,,-75.19567853,39.95229369
9,8d225701-c455-4387-9c79-1fcba82a1f86,Penn Museum,575,yes,,,,,,6,,,,,,,,,There is a ramp on the west side of the building to the Kamin entrance.  There are automatic doors at the Kress entrance.,3/26/18 15:18,,3/26/18 15:25,,,-75.19117995,39.949135600000005
10,c0ae6a50-8472-4d17-b220-6ddc89b50427,Fisher Fine Arts Library,CAMPUS-170,yes,yes,Elevator,natural,,,5,3.0,1.0,,0.0,0.0,5.0,no,no,"Gendered bathrooms on LLR, accessible but automatic door doesn't work; Stacks narrow; inaccessible 2nd floor study area; emergency exits only accessible by stairs; elevators in certain spaces only accessible with clearance",3/28/18 20:18,,3/28/18 20:18,,,-75.19271047,39.95162417
11,eaf699d6-1f45-492b-8614-4839239646af,Jon M Huntsman Hall,CAMPUS-617,no,,,artificial,"Dim, warm lighting",,9,4.0,6.0,1.0,1.0,1.0,27.0,yes,no,"Lactation space on ground floor. Accessible, gender-neutral bathroom in basement. Floors 4 and above are department floors which are difficult for unaffiliated people to access.",3/28/18 20:18,,3/28/18 20:28,madhurap_UPenn,,-75.19817837,39.95318893
12,e27b7552-fc2a-4278-9fc1-bfbb4da49b10,Lerner Center,CAMPUS-365,no,yes,Elevators stairs and rooms have Braille signage.,both,Lighting is a mixture. Atrium spaces are well lit with natural light. Lots of corridors which are darker and lit by artificial light.,Little bit of a sterilised smell.,5,2.0,1.0,8.0,0.0,0.0,8.0,no,no,"No obviously inaccessible spaces but lots of doors particularly on floors 2, 3 and 4 are heavy and hard to open",3/28/18 20:32,,3/28/18 20:41,madhurap_UPenn,,-75.19190413,39.95211386
